Rank,Team,GM,W-L,FGM,FGA,FG%,Win,Loss,WinPct,Conf
1,St. Mary's (CA) (West Coast),31,27-4,854,"1,672",51.1,27,4,0.87,wc
2,Iowa St. (Big 12),31,21-10,968,"1,926",50.3,21,10,0.68,b12
3,Indiana (Big Ten),31,25-6,910,"1,811",50.2,25,6,0.81,b10
4,SMU (AAC),30,25-5,858,"1,727",49.7,25,5,0.83,aac
5,Eastern Wash. (Big Sky),30,16-14,861,"1,738",49.5,16,14,0.53,bs
6,Belmont (OVC),31,20-11,888,"1,793",49.5,20,11,0.65,ovc
7,Kansas (Big 12),31,27-4,895,"1,818",49.2,27,4,0.87,b12
8,Eastern Ky. (OVC),31,15-16,864,"1,760",49.1,15,16,0.48,ovc
9,Evansville (Missouri Valley),34,25-9,879,"1,795",49,25,9,0.74,mv
10,Maryland (Big Ten),31,24-7,823,"1,682",48.9,24,7,0.77,b10
11,Virginia (Atlantic Coast),30,24-6,772,"1,578",48.9,24,6,0.80,ac
12,Utah (Pac-12),31,24-7,853,"1,745",48.9,24,7,0.77,p12
13,Michigan St. (Big Ten),31,26-5,902,"1,850",48.8,26,5,0.84,b10
14,Vermont (America East),33,21-12,888,"1,823",48.7,21,12,0.64,ae
15,Richmond (Atlantic 10),30,15-15,846,"1,737",48.7,15,15,0.50,a10
16,Arizona (Pac-12),31,24-7,874,"1,798",48.6,24,7,0.77,p12
17,North Florida (Atlantic Sun),33,22-11,976,"2,010",48.6,22,11,0.67,as
18,SFA (Southland),30,25-5,865,"1,785",48.5,25,5,0.83,so
19,Gonzaga (West Coast),32,25-7,900,"1,863",48.3,25,7,0.78,wc
20,UAB (Conference USA),31,26-5,887,"1,838",48.3,26,5,0.84,cu
21,Weber St. (Big Sky),31,23-8,810,"1,679",48.2,23,8,0.74,bs
22,High Point (Big South),31,21-10,863,"1,794",48.1,21,10,0.68,bso
23,Houston Baptist (Southland),31,16-15,831,"1,730",48,16,15,0.52,so
24,William & Mary (Colonial),31,20-11,843,"1,755",48,20,11,0.65,co
25,FGCU (Atlantic Sun),33,20-13,949,"1,991",47.7,20,13,0.61,as
26,Portland St. (Big Sky),29,12-17,852,"1,788",47.7,12,17,0.41,bs
27,North Carolina (Atlantic Coast),31,25-6,960,"2,015",47.6,25,6,0.81,ac
28,Stony Brook (America East),31,25-6,885,"1,858",47.6,25,6,0.81,ae
29,Winthrop (Big South),32,23-9,890,"1,869",47.6,23,9,0.72,bso
30,Kentucky (Southeastern),31,23-8,884,"1,858",47.6,23,8,0.74,so
31,Denver (Summit League),31,16-15,689,"1,449",47.6,16,15,0.52,sl
32,Notre Dame (Atlantic Coast),30,20-10,824,"1,734",47.5,20,10,0.67,ac
33,Ohio (Mid-American),30,20-10,800,"1,687",47.4,20,10,0.67,ma
34,Omaha (Summit League),31,18-13,919,"1,943",47.3,18,13,0.58,sl
35,Michigan (Big Ten),31,20-11,827,"1,751",47.2,20,11,0.65,b10
36,Miami (FL) (Atlantic Coast),30,24-6,784,"1,661",47.2,24,6,0.80,ac
37,Yale (Ivy League),28,22-6,744,"1,580",47.1,22,6,0.79,il
38,FIU (Conference USA),31,13-18,810,"1,722",47,13,18,0.42,cu
39,Creighton (Big East),31,18-13,869,"1,848",47,18,13,0.58,be
40,Baylor (Big 12),31,21-10,855,"1,819",47,21,10,0.68,b12
41,Purdue (Big Ten),31,24-7,849,"1,810",46.9,24,7,0.77,b10
42,Butler (Big East),30,21-9,847,"1,806",46.9,21,9,0.70,be
43,Princeton (Ivy League),27,21-6,746,"1,591",46.9,21,6,0.78,il
44,Louisville (Atlantic Coast),31,23-8,866,"1,847",46.9,23,8,0.74,ac
45,Marquette (Big East),31,19-12,831,"1,773",46.9,19,12,0.61,be
46,New Mexico St. (Western Athletic),31,22-9,822,"1,754",46.9,22,9,0.71,wa
47,LSU (Southeastern),31,18-13,874,"1,865",46.9,18,13,0.58,so
48,New Mexico (Mountain West),31,17-14,810,"1,729",46.8,17,14,0.55,mw
49,Houston (AAC),30,22-8,848,"1,814",46.7,22,8,0.73,aac
50,IPFW (Summit League),33,24-9,913,"1,956",46.7,24,9,0.73,sl
51,South Dakota (Summit League),32,14-18,912,"1,954",46.7,14,18,0.44,be
52,Villanova (Big East),31,27-4,827,"1,772",46.7,27,4,0.87,cu
53,Marshall (Conference USA),31,16-15,952,"2,040",46.7,16,15,0.52,cu
54,Oregon (Pac-12),31,25-6,839,"1,800",46.6,25,6,0.81,p12
55,Bucknell (Patriot),30,17-13,803,"1,725",46.6,17,13,0.57,pa
56,Detroit (Horizon),31,16-15,898,"1,931",46.5,16,15,0.52,ho
